ID,Age,Education,MaritalStatus,Income,KidsHousehold,TeensHousehold,NWebPurchases,NStorePurchases,AcceptedCampaign,Complaint,SpendProducts
2499,33,Bachelor,Married,51373,0,0,3,3,0,0,276
523,60,Bachelor,Single,58138,0,0,8,4,0,0,806
316,66,Bachelor,Single,46344,1,1,1,2,0,0,9
454,55,Bachelor,Married,71613,0,0,8,10,0,0,287
814,36,Bachelor,Married,26646,1,0,2,4,0,0,34
4,39,PhD,Married,58293,1,0,5,6,0,0,207
635,53,Master,Married,62513,0,1,6,10,0,0,140
2422,49,Bachelor,Divorced,55635,0,1,7,7,0,0,279
2930,35,PhD,Married,33454,1,0,4,4,0,0,69
1612,46,PhD,Married,30351,1,0,3,2,0,0,27
157,70,PhD,Married,5648,1,1,1,0,1,0,7
2441,44,Diploma,Married,7500,0,0,2,3,0,0,38
1344,61,Bachelor,Divorced,63033,0,0,3,8,0,0,766
2786,68,Master,Divorced,59354,1,1,6,5,0,0,58
108,33,Bachelor,Married,17323,0,0,1,3,0,0,37
933,74,PhD,Single,82800,0,0,7,12,1,0,196
1618,40,Bachelor,Married,41850,1,1,3,3,0,0,26
2670,74,Bachelor,Married,37760,0,0,4,6,0,0,193
2781,71,Master,Married,76995,0,1,11,9,1,0,578
673,35,Master,Single,33812,1,0,2,3,0,0,66
2615,38,Bachelor,Married,37040,0,0,4,5,0,0,144
2398,41,Bachelor,Married,2447,1,0,0,0,0,0,1727
2358,71,PhD,Married,58607,0,1,2,9,1,0,86
468,66,PhD,Married,65324,0,1,6,9,0,0,123
2047,69,Bachelor,Married,40689,0,1,7,5,0,0,69
2585,51,Bachelor,Single,18589,0,0,2,3,0,0,44
1710,44,Bachelor,Married,53359,1,1,5,4,0,0,37
1764,31,Bachelor,Married,38360,1,0,2,4,0,0,64
1023,55,PhD,Married,84618,0,0,6,10,1,0,922
1410,31,Master,Divorced,10979,0,0,3,3,0,0,16
316,57,Master,Married,38620,0,0,2,3,0,0,95
62,50,Bachelor,Married,40548,0,1,2,4,1,0,7
2734,68,PhD,Divorced,46610,0,1,4,6,0,0,141
1602,74,Master,Married,68657,0,0,3,9,0,0,624
3006,69,Master,Single,49389,1,1,2,3,0,0,21
453,50,PhD,Married,67353,0,1,5,12,0,0,168
3005,44,Master,Married,23718,1,0,3,2,0,0,32
936,47,Bachelor,Widow,42429,0,1,1,3,0,0,8
2125,77,PhD,Divorced,48948,0,0,7,5,1,0,374
520,40,Bachelor,Married,80011,0,1,8,5,0,0,694
972,35,Master,Married,20559,1,0,2,3,0,0,33
2914,63,Bachelor,Married,21994,0,1,0,3,0,0,9
2578,45,Master,Married,7500,1,0,2,3,0,0,14
1696,44,Bachelor,Single,79941,0,0,2,9,0,0,657
2219,24,Master,Married,7500,0,0,3,3,0,0,47
545,52,Bachelor,Married,41728,1,0,2,2,0,0,24
1961,66,PhD,Married,72550,1,1,5,12,0,0,417
2188,63,Bachelor,Widow,65486,0,1,4,10,0,0,181
2506,56,Master,Married,79143,0,0,6,13,0,0,844
786,43,Bachelor,Single,35790,1,0,2,3,0,0,56
62,43,Bachelor,Divorced,82582,0,0,4,7,1,0,826
2039,42,Bachelor,Married,66373,1,1,4,10,0,0,145
2133,65,Master,Married,82384,0,0,3,13,1,0,663
2033,54,Bachelor,Divorced,70287,0,0,5,10,0,0,638
404,32,Bachelor,Single,27938,1,0,1,4,0,0,10
1426,52,PhD,Married,55954,0,1,8,6,0,0,28
2832,38,Master,Single,75777,0,0,3,11,1,0,633
2595,45,Bachelor,Married,66653,1,1,4,12,0,0,136
1206,68,Bachelor,Single,61823,0,1,8,10,0,0,178
2454,69,PhD,Widow,67680,0,1,7,8,0,0,48
1755,72,Bachelor,Married,70666,0,0,7,4,0,0,526
2330,49,Bachelor,Married,25721,1,0,1,2,0,0,12
1103,53,Bachelor,Married,32474,1,1,1,2,0,0,1
483,41,Master,Single,88194,0,1,11,10,1,0,524
1841,62,Bachelor,Married,69096,0,1,5,10,0,0,215
3037,50,Bachelor,Married,74854,1,1,2,5,0,0,604
